"id";"main_id";"language";"content"
"1";"AMIQ_0001_I_0001_1";"en";"In this test you will be given a number of picture puzzles to solve. First you will complete a couple of practice questions."
"2";"AMIQ_0001_I_0002_1";"en";"You will be presented with a number of picture puzzles. Each puzzle will be missing a piece. Eight potential replacement pieces are given below each picture puzzle. Only one of these pieces is the correct replacement. Your task is to click on the correct one."
"3";"AMIQ_0001_I_0003_1";"en";"Practice Question {{practice_no}}: Which is the correct missing piece?"
"4";"AMIQ_0001_I_0004_1";"en";"Only one of these pieces is the correct replacement. Your task is to click on the correct one."
"5";"AMIQ_0001_I_0005_1";"en";"Next Practice Question"
"6";"AMIQ_0001_I_0006_1";"en";"Continue to main test"
"7";"AMIQ_0001_I_0007_1";"en";"In the main test, you will only have {{time_out}} seconds to answer each question. After {{time_out}} seconds, the large image will disappear, leaving only the 8 answers to choose from. You won't get any feedback for this part of the test."
"8";"AMIQ_0001_I_0008_1";"en";"Which is the correct missing piece? ({{num_question}}/{{max_question}})"
"9";"AMIQ_0001_I_0009_1";"en";"Congratulations! You have completed the picture puzzle test."
"10";"AMIQ_0001_I_0010_1";"en";"Practice Question {{practice_no}}: {{response}}"
"11";"AMIQ_0001_I_0011_1";"en";"Correct!"
"12";"AMIQ_0001_I_0012_1";"en";"Incorrect."
"13";"AMIQ_0001_I_0013_1";"en";"You have 120 seconds to choose an answer before the question disappears!"
"14";"AMIQ_0001_I_0001_1";"de";"In diesem Test siehst du Bilder mit Puzzles, die du lösen sollst. Zuerst kommen ein paar Beispiele zum Üben."
"15";"AMIQ_0001_I_0002_1";"de";"Du siehst nun eine Reihe von Puzzlebildern. In jedem Puzzle fehlt ein Puzzleteil. Du bekommst 8 mögliche Puzzleteile, die unter dem Puzzle angezeigt sind. Nur eins dieser Teile ist das richtige. Deine Aufgabe ist es, auf das richtige Teil zu klicken."
"16";"AMIQ_0001_I_0003_1";"de";"Probefrage {{practice_no}}: Welches ist das richtige fehlende Puzzleteil?"
"17";"AMIQ_0001_I_0004_1";"de";"Nur eins dieser Teile ist das richtige Puzzleteil. Deine Aufgabe ist es, auf das richtige Teil zu klicken."
"18";"AMIQ_0001_I_0005_1";"de";"Nächstes Übungsbeispiel."
"19";"AMIQ_0001_I_0006_1";"de";"Weiter zum Haupttest"
"20";"AMIQ_0001_I_0007_1";"de";"In diesem Haupttest hast du für jede Frage nur {{time_out}} Sekunden Zeit zu antworten. Nach {{time_out}} Sekunden verschwindet das große Bild und es bleiben nur noch die 8 Teile, aus denen du auswählen musst. Du bekommst keine Rückmeldung bei diesem Teil des Tests."
"21";"AMIQ_0001_I_0008_1";"de";"Welches ist das fehlende Puzzleteil? ({{num_question}}/{{max_question}})"
"22";"AMIQ_0001_I_0009_1";"de";"Herzlichen Glückwunsch! Du hast den Bilder-Puzzle-Test abgeschlossen."
"23";"AMIQ_0001_I_0010_1";"de";"Probefrage {{practice_no}}: {{response}}"
"24";"AMIQ_0001_I_0011_1";"de";"Richtig!"
"25";"AMIQ_0001_I_0012_1";"de";"Leider falsch."
"26";"AMIQ_0001_I_0013_1";"de";"Du hast {{time_out}} Sekunden Zeit ein Antwort zu geben, bevor die Frage verschwindet!"
